START_TIME,END_TIME,OPEN_PRICE,CLOSE_PRICE,HIGH_PRICE,LOW_PRICE,TOTAL_VOLUME,SMA9,SMA20,SMA50,MACD_DIFF,RSI,BOLL_LOW,BOLL_HIGH,CCI,NEXT_OPEN_BAR1,NEXT_CLOSE_BAR1,NEXT_OPEN_BAR2,NEXT_CLOSE_BAR2,NEXT_OPEN_BAR3,NEXT_CLOSE_BAR3,NEXT_OPEN_BAR4,NEXT_CLOSE_BAR4,NEXT_OPEN_BAR5,NEXT_CLOSE_BAR5
50000,51404,2402,2395,2403,2395,2872,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2395,2345,2345,2353.5,2353.5,2362.25,2362,2367.5,2367.5,2365.25
51404,133003,2395,2345,2395.5,2345,10867,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2345,2353.5,2353.5,2362.25,2362,2367.5,2367.5,2365.25,2365.25,2361.5
133003,133013,2345,2353.5,2354.75,2343.25,6017,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2353.5,2362.25,2362,2367.5,2367.5,2365.25,2365.25,2361.5,2361.75,2375.25
133013,133029,2353.5,2362.25,2364,2352.5,4474,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2362,2367.5,2367.5,2365.25,2365.25,2361.5,2361.75,2375.25,2375.25,2382.25
133029,133044,2362,2367.5,2373,2361.25,3296,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2367.5,2365.25,2365.25,2361.5,2361.75,2375.25,2375.25,2382.25,2382.5,2386
133044,133056,2367.5,2365.25,2369,2360,3865,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2365.25,2361.5,2361.75,2375.25,2375.25,2382.25,2382.5,2386,2386,2382.5
133056,133109,2365.25,2361.5,2368.5,2360.5,3255,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2361.75,2375.25,2375.25,2382.25,2382.5,2386,2386,2382.5,2382.5,2374.75
133109,133116,2361.75,2375.25,2377.5,2361.5,3816,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2375.25,2382.25,2382.5,2386,2386,2382.5,2382.5,2374.75,2374.75,2373.25
133116,133128,2375.25,2382.25,2383.75,2375,2521,2367.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2382.5,2386,2386,2382.5,2382.5,2374.75,2374.75,2373.25,2373.5,2380.75
133128,133144,2382.5,2386,2387,2381.5,3063,2366.5,2379.0625,2380.6,-0.11330346886134152,44.21906693711968,2348.875916268329,2409.507417065005,113.93697292498975,2386,2382.5,2382.5,2374.75,2374.75,2373.25,2373.5,2380.75,2380.75,2381.5
